curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0
3,2,2,0,0,0,0,0
4,3,3,3,0,0,0,0
5,4,4,4,4,0,0,0
6,5,5,5,5,5,0,0
7,6,6,6,6,6,6,0
8,7,7,7,7,7,7,7
9,8,8,8,8,8,8,8
10,9,9,9,9,9,9,9
11,10,10,10,10,10,10,10
12,11,11,11,11,11,11,11
0,12,12,12,12,12,12,12
0,8,10,12,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0
3,2,2,2,0,0,0,0
4,3,3,3,3,0,0,0
5,4,4,4,4,4,0,0
6,5,5,5,5,5,5,0
7,6,6,6,6,6,6,6
6,7,7,7,7,7,7,7
9,6,6,6,6,6,6,6
6,9,9,9,9,9,9,9
11,6,6,6,6,6,6,6
0,11,11,11,11,11,11,11
0,7,9,11,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,9
-1,1,2,3,4,5,6,9
-1,1,2,3,4,5,6,11
-1,1,2,3,4,5,6,11
-1,8,10,12,4,5,6,11
