lh_tile_sched
PE1,PE2,PE3,PE4,PE5
0,0,0,0,0
0,0,4,4,4
4,4,4,4,7
7,7,7,7,7
7,5,5,5,5
5,5,5,8,8
8,8,8,8,8
4,4,4,4,4
4,4,7,7,7
7,7,7,7,5
5,5,5,5,5
5,8,8,8,8
8,8,8,4,4
rh_tile_sched
PE1,PE2,PE3,PE4,PE5
0,0,0,0,0
0,0,4,4,4
4,4,4,4,4
4,4,4,4,4
4,7,7,7,7
7,7,7,7,7
7,7,7,7,7
5,5,5,5,5
5,5,5,5,5
5,5,5,5,8
8,8,8,8,8
8,8,8,8,8
8,8,8,4,4
output_tile_incr_sched
PE1,PE2,PE3,PE4,PE5
0,0,0,0,0
0,0,4,4,4
4,4,4,4,7
7,7,7,7,7
7,4,4,4,4
4,4,4,7,7
7,7,7,7,7
5,5,5,5,5
5,5,8,8,8
8,8,8,8,5
5,5,5,5,5
5,8,8,8,8
8,8,8,4,4
rh_tile_col_sched
PE1,PE2,PE3,PE4,PE5
0,1,2,3,4
5,6,0,1,2
3,4,5,6,0
1,2,3,4,5
6,0,1,2,3
4,5,6,0,1
2,3,4,5,6
0,1,2,3,4
5,6,0,1,2
3,4,5,6,0
1,2,3,4,5
6,0,1,2,3
4,5,6,7,7
