curr
ID,PE1
2,0
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
1,15
0,3
0,4
0,5
0,6
0,7
0,8
0,10
0,11
0,12
0,13
0,14
0,15
0,4
0,5
0,6
0,7
0,8
0,11
0,12
0,13
0,14
0,15
0,5
0,6
0,7
0,8
0,12
0,13
0,14
0,15
0,6
0,7
0,8
0,13
0,14
0,15
0,7
0,8
0,14
0,15
0,1
0,8
0,15
par
ID,PE1
0,0
2,0
3,2
4,3
5,4
6,5
7,6
0,7
9,0
10,9
11,10
12,11
13,12
14,13
0,14
0,2
0,3
0,4
0,5
0,6
0,7
0,9
0,10
0,11
0,12
0,13
0,14
0,3
0,4
0,5
0,6
0,7
0,10
0,11
0,12
0,13
0,14
0,4
0,5
0,6
0,7
0,11
0,12
0,13
0,14
0,5
0,6
0,7
0,12
0,13
0,14
0,6
0,7
0,13
0,14
0,0
0,7
0,14
derv
ID,PE1
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,9
-1,9
-1,9
-1,9
-1,9
-1,9
-1,9
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,10
-1,10
-1,10
-1,10
-1,10
-1,10
-1,4
-1,4
-1,4
-1,4
-1,4
-1,11
-1,11
-1,11
-1,11
-1,11
-1,5
-1,5
-1,5
-1,5
-1,12
-1,12
-1,12
-1,12
-1,6
-1,6
-1,6
-1,13
-1,13
-1,13
-1,7
-1,7
-1,14
-1,14
-1,1
-1,8
-1,15
