curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
12,12,12,12,12,12,12
8,8,8,8,8,8,8
7,7,7,7,7,7,7
6,6,6,6,6,6,6
12,12,12,12,12,12,0
11,11,11,11,11,11,0
10,10,10,10,10,10,0
9,9,9,9,9,9,0
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
0,12,12,12,12,12,0
0,8,8,11,11,11,0
0,7,7,10,10,10,0
0,6,6,9,9,9,0
0,5,5,5,5,5,0
0,4,4,4,4,4,0
0,3,3,3,3,3,0
0,2,2,2,2,2,0
0,1,1,1,1,1,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
8,8,8,8,8,8,8
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
11,11,11,11,11,11,0
10,10,10,10,10,10,0
9,9,9,9,9,9,0
5,5,5,5,5,5,0
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,8,8,11,11,11,0
0,7,7,10,10,10,0
0,6,6,9,9,9,0
0,5,5,5,5,5,0
0,4,4,4,4,4,0
0,3,3,3,3,3,0
0,2,2,2,2,2,0
0,1,1,1,1,1,0
0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,6
-1,7,8,9,10,11,6
